S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Boituva,3507001,boituvense,EDSON JOSE MARCUSSO,248.954,61081,245.35,63850,98.66,0.780,14.81,449143411,446784449.6,73249.13,
Bom Jesus dos Perd&otilde;es,3507100,perdoense,PAULO AFONSO FERREIRA BUENO,108.366,22006,203.07,22579,96.93,0.713,3.34,174884089.1,169009946.1,73953.06,
Bom Sucesso de Itarar&eacute;,3507159,bom sucessiense,DIRCEU PACHECO DE OLIVEIRA,133.578,3555,26.61,3609,100,0.660,-,35832471.02,29264814.39,21796.65,
Bor&aacute;,3507209,boraense,LUIZ CARLOS RODRIGUES,118.951,907,7.62,932,100,0.746,-,28035502.58,22341829.49,133365.32,
Borac&eacute;ia,3507308,boraceense,MARCOS VINICIO BILANCIERI,122.11,4715,38.61,4838,99.54,0.754,34.48,47483509.16,41988893.58,139456.01,
Borborema,3507407,borboremense,SHEILA MARIA GON&Ccedil;ALVES DE OLIVEIRA,552.256,14226,25.76,14405,98.58,0.730,7.81,111619005.7,96474601.29,49551.58,
Borebi,3507456,borebiense,ANDERSON PINHEIRO DE GOES,347.989,2713,7.80,2801,100,0.705,-,49455535.03,39867113.34,43661.03,
Botucatu,3507506,botucatuense,FABIO VIEIRA DE SOUZA LEITE,1481.772,145155,97.90,151053,96.6,0.800,7.7,856487647.3,786527804.6,55059.4,
Bragan&ccedil;a Paulista,3507605,bragantino,EDMIR JOSE ABI CHEDID,512.584,176811,344.94,185688,98.79,0.776,9.46,1087095485,1112622401,59064.7,
Bra&uacute;na,3507704,braunense,MAICON APARECIDO SUBIRES RIBEIRO,195.176,5356,27.44,5477,99.42,0.737,16.13,46258962.25,43444794.32,29472.58,
Brejo Alegre,3507753,brejoalegrense,RAFAEL ALVES DOS SANTOS,105.689,2565,24.27,2605,100,0.710,37.04,33773461.96,29753737.21,35359.3,
Brodowski,3507803,brodosquiano,F&Aacute;BIO MAXIMINIANO VERCEZI SEVERI,278.458,25201,90.50,26314,99.48,0.755,7.72,202346025.3,156364106.1,48026.05,
Brotas,3507902,brotense,ALEXSANDRA BERTO BRAND&Atilde;O,1101.373,23898,21.70,24501,98.74,0.740,10.99,208474120.2,182763044.6,65109.23,
Buri,3508009,buriense,GERMANO ALMEIDA PESCHEL,1196.463,20250,16.92,20731,96.48,0.667,13.47,152340737,137366807.6,44831.25,
